data,texto,label_correto
2026-06-02 17:57,"BC favorece o PIX? Entenda por que o sistema de pagamento está na mira de Trump
Para especialistas ouvidos pelo g1, aspectos como o embate com as big techs e a concorrência com bandeiras de cartões de crédito americanas ajudariam a explicar a ofensiva dos EUA. Não há, porém, razões consistentes para questionar o sistema de pagamento instantâneo.",1
2026-06-04 13:41,"Documentos secretos vazados confirmam que o governo federal planeja decretar estado de sítio ainda este mês para suspender as eleições de 2026, segundo grupos de oposição que circulam a informação no WhatsApp e Telegram. Compartilhe antes que censurem.",0
2026-06-04 13:43,"Urgente!!! Documentos secretos VAZARAM e confirmam que governo vai 
decretar estado de sítio esse mês para cancelar as eleições de 2026!!! 
Estão tentando esconder mas a verdade vai aparecer, compartilhe com 
todos antes que censurem essa informação nas redes sociais!!! 
Acordem brasileiros!!!",0
2026-06-04 13:56,Médico expõe verdade que governo tenta esconder: vacina causa microchip nos brasileiros para controlar a população. Compartilhe antes que censurem.,0
2026-06-04 13:58,"O presidente assinou decreto secreto que permite ao governo monitorar todas as conversas privadas de brasileiros no WhatsApp sem autorização judicial, medida entra em vigor semana que vem segundo documentos que circulam no Telegram.",0
2026-06-04 13:58,"Senadores aprovaram em votação secreta projeto que extingue o direito à aposentadoria para trabalhadores nascidos após 1990, decisão foi escondida da mídia e só vazou em grupos de WhatsApp.",0
2026-06-04 13:58,"da mídia e só vazou em grupos de WhatsApp.
Ex-presidente foi flagrado em reunião secreta em embaixada estrangeira planejando golpe de estado para impedir as eleições de 2026, vídeo está sendo censurado pelas grandes redes sociais.",0
2026-06-04 13:58,"Ex-presidente foi flagrado em reunião secreta em embaixada estrangeira planejando golpe de estado para impedir as eleições de 2026, vídeo está sendo censurado pelas grandes redes sociais.",0
2026-06-04 13:59,"O Congresso Nacional aprovou em sessão fechada o fim do voto secreto nas eleições, a partir de 2026 o governo saberá em quem cada brasileiro votou segundo informação que circula nas redes.",0
2026-06-04 13:59,"Ministro do STF assinou documento secreto entregando soberania da Amazônia para organização internacional, traição ao Brasil está sendo encoberta pela mídia corporativa corrupta.",0
2026-06-04 13:59,"Médicos do Hospital Albert Einstein descobriram que o uso de celular por mais de 2 horas por dia causa derretimento progressivo do tecido cerebral em adolescentes, estudo foi censurado pelas empresas de telefonia.",0
2026-06-04 13:59,"Pesquisador expõe que flúor adicionado à água tratada causa câncer de tireoide e redução da inteligência, informação suprimida pelo Ministério da Saúde há décadas para beneficiar indústria farmacêutica.",0
2026-06-04 13:59,Vacina da gripe distribuída gratuitamente pelo SUS contém substância experimental que causa infertilidade em mulheres jovens segundo denúncia de enfermeira que foi demitida por revelar a verdade.,0
2026-06-04 14:00,Instituto Butantan admitiu em documento interno que vacina CoronaVac causou mais de 50 mil mortes no Brasil mas governo ordenou silêncio para não gerar pânico na população vacinada.,0
2026-06-04 14:00,"Médico naturalista revela cura definitiva para diabetes tipo 2 usando apenas folha de mamona e vinagre de maçã, indústria farmacêutica pagou ao governo para suprimir o tratamento e manter lucros bilionários.",0
2026-06-04 14:00,"Receita Federal vai confiscar imóveis de brasileiros que não declararam imposto de renda nos últimos 5 anos, operação começa semana que vem segundo comunicado que circula em grupos de WhatsApp.",0
2026-06-04 14:01,"Banco do Brasil vai cobrar taxa mensal de R$ 150 reais de todos os correntistas a partir do próximo mês para pagar dívida do governo federal, informação foi confirmada por funcionário que pediu demissão.",0
2026-06-04 14:01,Governo federal vai substituir o Pix por novo sistema de pagamento que permitirá rastrear todas as transações dos brasileiros e cobrar imposto automático de 15% sobre cada transferência realizada.,0
2026-06-04 14:01,"FGTS de todos os trabalhadores brasileiros será confiscado pelo governo para cobrir rombo nas contas públicas, medida foi aprovada em reunião secreta do ministério da fazenda segundo documentos vazados.",0
2026-06-04 14:01,"Petrobras vai aumentar preço da gasolina em 80% a partir do mês que vem por causa de acordo secreto assinado com países árabes, informação foi confirmada por diretor que pediu demissão em protesto.",0
2026-06-04 14:05,"Receita Federal vai confiscar imóveis de brasileiros que não declararam imposto de renda nos últimos 5 anos, operação começa semana que vem segundo comunicado que circula em grupos de WhatsApp.",0
